weekday,shift,station,operator_id,last_station,total,ng_count,avg_cycle_time,first_date,last_date,ng_rate,is_anomaly,reason
Saturday,Afternoon,M326,041979300000,Str3,1,0,2181.0,2025-05-17 18:12:02,2025-05-17 18:12:02,0.0,False,🐢 Ciclo: 2181s | ⚠️ Pochi moduli
Saturday,Afternoon,M326,041979300000,Str5,2,1,6494.0,2025-05-17 18:08:03,2025-05-17 21:41:14,0.5,False,🔴 Scarto: 50% | 🐢 Ciclo: 6494s | ⚠️ Pochi moduli
Saturday,Morning,M308,BADGE SYS DISABLED,Str1,158,53,101.22151898734177,2025-05-17 07:10:14,2025-05-17 13:20:22,0.33544303797468356,False,🔴 Scarto: 34%
Saturday,Morning,M308,BADGE SYS DISABLED,Str3,55,12,68.7090909090909,2025-05-17 07:32:24,2025-05-17 09:47:50,0.21818181818181817,False,🔴 Scarto: 22%
Saturday,Morning,M308,BADGE SYS DISABLED,Str5,9,0,33.0,2025-05-17 10:12:53,2025-05-17 11:19:49,0.0,False,
Saturday,Morning,M309,BADGE SYS DISABLED,Str1,8,1,157.25,2025-05-17 08:09:21,2025-05-17 10:55:59,0.125,False,🐢 Ciclo: 157s
Saturday,Morning,M309,BADGE SYS DISABLED,Str3,1,0,289.0,2025-05-17 10:41:35,2025-05-17 10:41:35,0.0,False,🐢 Ciclo: 289s | ⚠️ Pochi moduli
Saturday,Morning,M309,BADGE SYS DISABLED,Str5,4,0,82.75,2025-05-17 10:37:56,2025-05-17 10:56:51,0.0,False,⚠️ Pochi moduli
Saturday,Morning,M326,,Str3,1,0,1181.0,2025-05-17 09:10:23,2025-05-17 09:10:23,0.0,False,🐢 Ciclo: 1181s | ⚠️ Pochi moduli
Saturday,Morning,M326,,Str5,1,1,9813.0,2025-05-17 10:43:18,2025-05-17 10:43:18,1.0,True,🔴 Scarto: 100% | 🐢 Ciclo: 9813s | ⚠️ Pochi moduli
Saturday,Morning,M326,041702400000,Str3,1,0,715.0,2025-05-17 09:30:58,2025-05-17 09:30:58,0.0,False,🐢 Ciclo: 715s | ⚠️ Pochi moduli
Saturday,Morning,M326,041925700000,Str1,3,0,321.3333333333333,2025-05-17 08:31:36,2025-05-17 13:30:54,0.0,False,🐢 Ciclo: 321s | ⚠️ Pochi moduli
Saturday,Night,M308,BADGE SYS DISABLED,Str1,89,2,81.17977528089888,2025-05-17 00:13:25,2025-05-17 23:45:22,0.02247191011235955,False,
Saturday,Night,M308,BADGE SYS DISABLED,Str3,57,4,64.56140350877193,2025-05-17 00:01:28,2025-05-17 02:43:22,0.07017543859649122,False,
Saturday,Night,M308,BADGE SYS DISABLED,Str5,20,0,101.1,2025-05-17 00:00:32,2025-05-17 23:57:30,0.0,False,
Saturday,Night,M326,041969600000,Str3,8,7,19073.875,2025-05-17 01:00:11,2025-05-17 02:28:16,0.875,True,🔴 Scarto: 88% | 🐢 Ciclo: 19073s
Saturday,Night,M326,041969600000,Str5,3,0,1684.0,2025-05-17 00:52:29,2025-05-17 01:27:43,0.0,False,🐢 Ciclo: 1684s | ⚠️ Pochi moduli
Sunday,Afternoon,M308,BADGE SYS DISABLED,Str1,39,0,34.17948717948718,2025-05-18 19:06:56,2025-05-18 20:56:27,0.0,False,
Sunday,Afternoon,M308,BADGE SYS DISABLED,Str5,35,1,119.48571428571428,2025-05-18 18:17:56,2025-05-18 20:53:07,0.02857142857142857,False,
Sunday,Afternoon,M309,BADGE SYS DISABLED,Str1,52,14,61.40384615384615,2025-05-18 15:19:10,2025-05-18 19:19:39,0.2692307692307692,False,🔴 Scarto: 27%
Sunday,Afternoon,M309,BADGE SYS DISABLED,Str3,3,0,198.0,2025-05-18 15:09:37,2025-05-18 15:26:03,0.0,False,🐢 Ciclo: 198s | ⚠️ Pochi moduli
Sunday,Afternoon,M309,BADGE SYS DISABLED,Str5,67,8,113.95522388059702,2025-05-18 14:22:50,2025-05-18 19:14:52,0.11940298507462686,False,
Sunday,Afternoon,M326,041705200000,Str1,2,0,1348.5,2025-05-18 19:11:53,2025-05-18 19:17:25,0.0,False,🐢 Ciclo: 1348s | ⚠️ Pochi moduli
Sunday,Afternoon,M326,041705200000,Str5,2,1,2358.0,2025-05-18 18:39:45,2025-05-18 19:57:30,0.5,False,🔴 Scarto: 50% | 🐢 Ciclo: 2358s | ⚠️ Pochi moduli
Sunday,Afternoon,M326,041925700000,Str1,4,1,2506.25,2025-05-18 15:26:56,2025-05-18 17:58:37,0.25,False,🔴 Scarto: 25% | 🐢 Ciclo: 2506s | ⚠️ Pochi moduli
Sunday,Afternoon,M326,041925700000,Str5,7,3,326.85714285714283,2025-05-18 14:47:41,2025-05-18 17:28:57,0.42857142857142855,False,🔴 Scarto: 43% | 🐢 Ciclo: 326s
Sunday,Morning,M308,BADGE SYS DISABLED,Str1,71,2,149.74647887323943,2025-05-11 06:24:33,2025-05-18 09:32:36,0.028169014084507043,False,🐢 Ciclo: 149s
Sunday,Morning,M308,BADGE SYS DISABLED,Str3,22,0,87.22727272727273,2025-05-11 06:48:03,2025-05-11 11:23:25,0.0,False,
Sunday,Morning,M308,BADGE SYS DISABLED,Str5,40,40,2931.0,2025-05-18 06:45:02,2025-05-18 06:45:02,1.0,True,🔴 Scarto: 100% | 🐢 Ciclo: 2931s
Sunday,Morning,M309,BADGE SYS DISABLED,Str1,126,51,67.02380952380952,2025-05-11 06:00:53,2025-05-18 13:26:02,0.40476190476190477,False,🔴 Scarto: 40%
Sunday,Morning,M309,BADGE SYS DISABLED,Str3,50,1,100.08,2025-05-11 06:05:28,2025-05-18 13:49:41,0.02,False,
Sunday,Morning,M309,BADGE SYS DISABLED,Str5,63,25,93.23809523809524,2025-05-18 07:03:18,2025-05-18 13:45:35,0.3968253968253968,False,🔴 Scarto: 40%
Sunday,Morning,M326,,Str1,4,1,1494.0,2025-05-11 09:37:22,2025-05-18 11:42:15,0.25,False,🔴 Scarto: 25% | 🐢 Ciclo: 1494s | ⚠️ Pochi moduli
Sunday,Morning,M326,,Str3,1,0,5938.0,2025-05-18 13:07:52,2025-05-18 13:07:52,0.0,False,🐢 Ciclo: 5938s | ⚠️ Pochi moduli
Sunday,Morning,M326,,Str5,1,0,613.0,2025-05-18 08:09:35,2025-05-18 08:09:35,0.0,False,🐢 Ciclo: 613s | ⚠️ Pochi moduli
Sunday,Morning,M326,041689900000,Str1,2,2,254.0,2025-05-18 12:25:07,2025-05-18 12:28:46,1.0,False,🔴 Scarto: 100% | 🐢 Ciclo: 254s | ⚠️ Pochi moduli
